title,year,summary,short_summary,genres,imdb_id,youtube_trailer,rating,director,cast
shoot 'em up,2007,"Late at night, in an unnamed U.S. city, a solitary man sits at a bus stop. A pregnant woman runs by, pursued by a man with a gun. With reluctance, the man at the bus stop rescues her and assists with the baby's delivery, while additional pursuers fire at them, including the gang's particularly nasty leader, an intuitive man named Hertz. Our hero, known only as Smith, determines to save the child and find out why Hertz wants the baby dead. At a local bordello, he tries to employ a lactating hooker to watch the child, but things quickly escalate, and this makeshift family is soon on the run. Heavy metal music calms the baby. Why? A laboratory, gun factory, and presidential campaign all figure in Smith's quest for the child's safe deliverance.",man named smith delivers woman baby shootout called upon protect newborn army gunman,action comedy crime thriller,tt0465602,jlx4n_ibNZE,6.7,Michael Davis,action comedy crime thriller
she's out of my league,2010,"Kirk is an average Joe who works as a TSA agent at the Pittsburgh airport with his friends. The status quo of his fairly monotonous life ends when he meets Molly, a smart, kind and gorgeous blonde. Because she's way out of his league (she's a hard 10 and he is but a 5), Kirk knows there's no way on earth she's ever going to fall for him. Or is there...?",average joe meet perfect woman lack confidence influence friend family begin pick away relationship,action comedy romance,tt0815236,ExA-EKYuU90,6.4,Jim Field Smith,action comedy romance
sherlock holmes: a game of shadows,2011,"Sherlock Holmes (Robert Downey Jr.) and his longtime trusted associate, Doctor Watson (Jude Law), take on their arch-nemesis, Professor Moriarty (Jared Harris), with the help of Holmes' older brother Mycroft Holmes (Stephen Fry) and a gypsy named Simza (Noomi Rapace).",sherlock holmes sidekick watson join force outwit bring fiercest adversary professor moriarty,action adventure crime mystery thriller,tt1515091,DpxtbtnC1u8,7.5,Guy Ritchie,action adventure crime mystery thriller
sherlock holmes,2009,"After finally catching serial killer and occult ""sorcerer"" Lord Blackwood, legendary sleuth Sherlock Holmes and his assistant Dr. Watson can close yet another successful case. But when Blackwood mysteriously returns from the grave and resumes his killing spree, Holmes must take up the hunt once again. Contending with his partner's new fiancée and the dimwitted head of Scotland Yard, the dauntless detective must unravel the clues that will lead him into a twisted web of murder, deceit, and black magic - and the deadly embrace of temptress Irene Adler.",detective sherlock holmes stalwart partner watson engage battle wit brawn nemesis whose plot threat england,action adventure crime mystery thriller,tt0988045,J7nJksXDBWc,7.6,Guy Ritchie,action adventure crime mystery thriller
shaun the sheep movie,2015,"Shaun the sheep is tired of doing the same work at the farm everyday. He decides to take a day off. In order to do that, he needs to make sure the farmer doesn't know. When more happens than they can handle, the sheep find their way in the big city. Now they need to get back to the farm.",shaun decides take day fun get little action bargained mix farmer caravan steep hill lead big city shaun flock return everyone safely green grass home,action adventure animation comedy family,tt2872750,tQvwiOWpj7o,7.4,Mark Burton,action adventure animation comedy family
shaun of the dead,2004,"Shaun doesn't have a very good day, so he decides to turn his life around by getting his ex to take him back, but he times it for right in the middle of what may be a zombie apocalypse... But for him, it's an opportunity to show everyone he knows how useful he is by saving them all. All he has to do is survive... And get his ex back.",man decides turn moribund life around winning back girlfriend reconciling relationship mother dealing entire community returned dead eat living,action comedy horror,tt0365748,12Ok6bbV7rQ,8.0,Edgar Wright,action comedy horror
shanghai knights,2003,"When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds. Chon's sister, Lin, has the same idea, and uncovers a worldwide conspiracy to murder the royal family but almost no one will believe her.",chinese rebel murder chon estranged father escape england chon roy make way london revenge mind,action adventure comedy,tt0300471,a26E5JR4M4A,6.2,David Dobkin,action adventure comedy
shanghai,2010,"An American man returns to a corrupt, Japanese-occupied Shanghai four months before Pearl Harbor and discovers his friend has been killed. While he unravels the mysteries of the death, he falls in love and discovers a much larger secret.",40 period piece revolves around american expat return shanghai month pearl harbor due death friend,action drama mystery romance thriller,tt1092634,dvpAdG54fZM,6.4,Mikael Håfström,action drama mystery romance thriller
shame,2011,"Brandon is a 30-something man living in New York who is unable to manage his sex life. After his wayward younger sister moves into his apartment, Brandon's world spirals out of control. Shame examines the nature of need, how we live our lives and the experiences that shape us.",man carefully cultivated private life disrupted sister arrives indefinite stay,action drama,tt1723811,zyUqkoJC3pQ,7.2,Steve McQueen,action drama
shall we dance,2004,"John Clark is a middle aged Chicago estate lawyer. He loves his family, which includes his wife Beverly, but their combined busy schedules and getting caught in a rut after two decades of marriage has left him feeling unfulfilled. While taking the el train home every night, he notices the same young, beautiful contemplative woman staring out of one of the windows of Miss Mitzi's Dance Studio, which specializes in ballroom. He is intrigued enough with her beauty and sadness to go in one evening on his way home. He learns that she is Paulina, one of the instructors and a former world class ballroom dancer. Because of her, he signs up for beginner group dance lessons, regardless of them being taught by Miss Mitzi herself, and not Paulina. As time progresses, John gets caught up in the lives of those at Miss Mitzi's: his two fellow classmates - overweight Vern who wants to learn to dance for his upcoming wedding, and Chic, who wants to impress the ladies - and two of the studio's ...",romantic comedy bored overworked estate lawyer upon first sight beautiful instructor sign ballroom dancing lesson,action comedy drama music romance,tt0358135,Mr3AjEn2uO8,6.1,Peter Chelsom,action comedy drama music romance
