title,year,summary,short_summary,genres,imdb_id,youtube_trailer,rating,director,cast
patton oswalt: annihilation,2017,"Patton Oswald, despite a personal tragedy, produces his best standup yet. Focusing on the tribulations of the Trump era and life after the loss of a loved one, Patton Oswald continues his journey to contribute joy to the world.",patton oswalt despite personal tragedy produce best standup yet focusing tribulation trump era life loss loved one oswalt continues journey contribute joy world,uncategorized,tt7026230,4hZi5QaMBFc,7.4,Bobcat Goldthwait,uncategorized
new york doll,2005,"A recovering alcoholic and recently converted Mormon, Arthur ""Killer"" Kane, of the rock band The New York Dolls, is given a chance at reuniting with his band after 30 years.",recovering alcoholic recently converted mormon arthur quot killer quot kane rock band new york doll given chance reuniting band year,documentary music,tt0436629,jwD04NsnLLg,7.9,Greg Whiteley,documentary music
mickey's magical christmas: snowed in at the house of mouse,2001,"After everyone is snowed in at the House of Mouse, Mickey suggests they throw their own Christmas party. Everyone is happy, except for Donald who just isn't in to the Christmas spirit. So Mickey shows a series of cartoons that show just what Christmas is all about. It features a star studded cast of Disney characters from everyone's favorite animated Disney movies.",mickey friend hold christmas party house mouse snowed,adventure animation comedy family fantasy,tt0300195,uCKwHHftrU4,6.8,Tony Craig,adventure animation comedy family fantasy
mickey's house of villains,2001,"The villains from the popular animated Disney films are gathered at the House of Mouse with plans to take over. Soon, the villains take over the house and kick out Mickey, Donald and Goofy. It's all up to Mickey and his friends to overthrow evil and return the House of Mouse to normal--or as close to normal as it get's.",villain popular animated disney film gathered house mouse plan take soon villain take house kick mickey donald goofy,animation comedy family fantasy horror,tt0329374,JA03ciYt-Ek,6.6,Jamie Mitchell,animation comedy family fantasy horror
and then i go,2017,"In the cruel world of junior high, Edwin suffers in a state of anxiety and alienation alongside his only friend, Flake. Misunderstood by their families and demoralized at school daily, their fury simmers quietly until an idea for vengeance offers them a terrifying release. Based on the acclaimed novel ""Project X"" by Jim Shepard, this unflinching look at adolescence explores how the powerful bonds of childhood friendship and search for belonging can become a matter of life or death.",cruel world junior high edwin suffers state anxiety alienation alongside friend flake misunderstood family demoralized school daily,drama,tt2018111,8CdIiD6-iF0,7.6,Vincent Grashaw,drama
an extremely goofy movie,2000,"It's a big time in Max's life. He's college bound with his friends and finally free of his embarrassing father as he strives to be a top contender for the X-Games. Unfortunately, Goofy loses his job and learns that he cannot get another job without a college degree. To his son's mortification, Goofy decides to join him in his campus to get that degree. Desperate to distract his father, Max talks him into joining the competing Gamma Fraternity team and introduces him to a wonderful librarian who shares his nostalgic love for 1970's pastimes. Unfortunately, things do not go according to plan as events put this father-son relationship to the test.",max go college embarassment father loses job go son campus,animation comedy family sport,tt0208185,H8oSvldAGfg,6.4,Douglas McCarthy,animation comedy family sport
peter rabbit,2018,"Based on the books by Beatrix Potter: Peter Rabbit (James Corden;) his three sisters: Flopsy (Margot Robbie,) Mopsy (Elizabeth Debicki) and Cotton Tail (Daisy Ridley) and their cousin Benjamin (Colin Moody) enjoy their days harassing Mr McGregor in his vegetable garden. Until one day he dies and no one can stop them roaming across his house and lands for a full day or so. However, when one of Mr McGregor's relatives inherits the house and goes to check it out, he finds much more than he bargained for. What ensues, is a battle of wills between the new Mr McGregor and the rabbits. But when he starts to fall in love with Bea (Rose Byrne,) a real lover of all nature, his feelings towards them begin to change. But is it too late?",feature adaptation beatrix potter classic tale rebellious rabbit trying sneak farmer vegetable garden,adventure animation comedy family fantasy,tt5117670,7Pa_Weidt08,6.6,Will Gluck,adventure animation comedy family fantasy
love songs,2007,"Julie's boyfriend Ismaël lives with her; rather than worry about the time he spends with his colleague Alice, Julie invites Alice to join them. The three walk the streets of Paris, party, read, and sleep together. Sometimes it's lighthearted, sometimes there are jealousies. Then death strikes. In various ways, those left come to terms with the departure and absence of a loved one: showing concern, eating together, attempting new relationships, trying to ""be there"" for the other. Then, the spirit returns and new commitments are possible. The romantic elements of musical comedy play in contrast to the ambivalence of the lyrics and the story.",musical interpretation three lover living paris,uncategorized,tt0996605,s54vpKAFmS0,7.2,Christophe Honoré,uncategorized
89,2017,"89 tells the incredible story of one of football's greatest triumphs: when against all odds Arsenal snatched the Championship title from Liverpool at Anfield in the last minute of the last game of the 1988/89 season. It's a universal tale of a band of brothers who, led by a charismatic and deeply respected manager, came together to defy the odds and create history. Mixing archive and previously unseen footage with revealing interviews, insights and memories from the original squad, game officials, famous fans and the people who were there on the night this is the definitive account of a watershed moment in football and a must-watch for any sports fan.",true story sporting miracle arsenal went anfield last day 1988 season needing beat best team england two clear goal snatch title,uncategorized,tt7614404,5hfAExhHTMM,8.1,Dave Stewart,uncategorized
the foster boy,2011,"The illegitimate orphan child, 12-year-old Max, is sold by the local minister for a basket of food to the Bösiger family, who own a mountain farm. Max' initial hope of finally finding a loving home is brutally shattered: The farmer and his wife treat Max like livestock, and their son Jacob humiliates and abuses him. Only the local teacher notices the child suffering on the farm.",swiss german rural peasant family take max crude year old boy foster situation constant bullying soon foster girl added mix,drama,tt2057931,E9Qv_XVJ-js,7.4,Markus Imboden,drama
forever my girl,2018,After being gone for a decade a country star returns home to the love he left behind.,gone decade country star return home love left behind,drama music romance,tt4103724,3vqcMr1q5Uc,6.4,Bethany Ashton Wolf,drama music romance
tom segura: disgraceful,2018,Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.,comedian tom segura rant funny thing pop culture way living 2018,comedy documentary,tt7379330,kYYINJM3lPA,7.5,Jay Karas,comedy documentary
secrets in the fall,2015,"Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble when a young camper goes missing and the rest of the group must set out to find him. The campers are forced to overcome their differences and band together to re-claim their weekend and make it out of the woods before dark!",nothing impossible group young camper friend enemy alike weekend retreat camp pinnacle start exciting wilderness adventure turn trouble,family,tt2522908,eMVw1pHVMAw,7.3,Brittany Goodwin,family
silent night,2017,Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.,adam unexpectedly visit family house christmas year working abroad family member know secret plan real reason visit,comedy drama,tt7133554,cA6BUYVkQoE,7.5,Piotr Domalewski,comedy drama
suicide squad: hell to pay,2018,Task Force X targets a powerful mystical object that they will risk their lives to steal.,task force target powerful mystical object risk life steal,action animation,tt7167602,EPZZvk-wbGE,7.2,Sam Liu,action animation
wildling,2018,"Anna spends her entire childhood under the care of a mysterious man she only knows as Daddy. He keeps her locked in an attic making her fear the Wildling, a child-eating monster that roams the outside. At age 16, Anna is freed by small-town sheriff Ellen Cooper who helps her start a new life as a normal teenager. But as Anna's body begins to blossom, her childhood nightmares return with a vengeance, leading to the conclusion of a terrifying secret.",blossoming teenager uncovers dark secret behind traumatic childhood,fantasy horror,tt5085924,eyl1Wf90AgY,6.1,Fritz Böhm,fantasy horror
the humanity bureau,2017,A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.,dystopian thriller set year 2030 see world permanent state economic recession facing serious environmental problem result global warming,action sci-fi,tt6143568,kUH8JGhRzPY,6.1,Rob W. King,action sci-fi
don't talk to irene,2017,"Irene must endure 2 weeks of community service at a retirement home. Following her passion for cheerleading, she secretly signs up the senior residents to audition for a dance-themed reality show to prove that you don't need to be physically ""perfect"" to be perfectly AWESOME.",irene must endure week community service retirement home following passion cheerleading secretly sign senior resident audition dance themed,comedy,tt5030452,lK48UxWuUho,6.4,Pat Mills,comedy
blood road,2017,The mysteries surrounding her father's death in the Vietnam war lead ultra-endurance mountain biker Rebecca Rusch on an emotional journey as she pedals 1200 miles of the Ho Chi Minh trail.,mystery surrounding father death vietnam war lead ultra endurance mountain biker rebecca rusch emotional journey pedal 1200 mile chi minh trail,documentary history sport,tt6900092,XCzVqiN950M,6.9,Nicholas Schrunk,documentary history sport
andre the giant,2018,"A look at the life and career of professional wrestler André Roussimoff, who gained notoriety in the 1980s as Andre the Giant.",look life career professional wrestler andr roussimoff gained notoriety 1980s andre giant,documentary,tt6543420,f_jTeuajas0,8.2,Jason Hehir,documentary
dead on arrival,2017,"A pharmaceutical sales rep visits a small town in Louisiana on business. He finds himself in a dark world of corruption and murder with 24 hours to live, running from the police, the mob and a sheriff that wants him dead.",pharmaceutical sale rep visit small town louisiana business find dark world corruption murder hour live running police mob sheriff want dead,thriller,tt5903088,8jJ-kC-rq0Q,6.9,Stephen C. Sepher,thriller
big time,2017,"Bjarke Ingels started out as a young man dreaming of creating cartoons. Now, he has been named ""one of architecture's biggest innovators"" by The Wall Street Journal and one of The 100 Most Influential People on the planet by TIME Magazine. BIG TIME follows Bjarke during the course of 7 years (2009-2016), while he struggles to finish his biggest project so far. We are let into Bjarke's creative processes as well as the endless compromises that his work entails, and we are on the side when his personal life starts putting pressure on him, too. In addition to the recently opened architectural marvel VIA 57 West (625 West 57th Street), Bjarke Ingels' company Bjarke Ingels Group (BIG) was given the task of designing and building one of the skyscrapers which will replace Two World Trade Center in Manhattan. While Bjarke is creating these buildings, which will change the New York skyline, he is hit by health-related issues. The Film offers an intimate look into the innovative and ambitious ...",big time follows bjarke ingels course year 2009 2016 struggle finish biggest project far let bjarke creative process well endless compromise work entail,documentary,tt7630164,VK0mGdMKMW4,6.2,Kaspar Astrup Schröder,documentary
adventures in babysitting,2016,"Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally runs away into the big city without any supervision.",two teen rival babysitter jenny lola team hunt one kid accidentally run away big city without supervision,adventure comedy family,tt4456850,BbTTXUMVTTU,6.1,John Schultz,adventure comedy family
hostiles,2017,"In 1892, after nearly two decades of fighting the Cheyenne, the Apache, and the Comanche natives, the United States Cavalry Captain and war hero, Joseph Blocker, is ordered to escort the ailing Cheyenne chief, Yellow Hawk--his most despised enemy--to his ancestral home in Montana's Valley of the Bears. Nauseated with a baleful anger, Joseph's unwelcome final assignment in the feral American landscape is further complicated, when the widowed settler, Rosalie Quaid, is taken in by the band of soldiers, as aggressive packs of marauding Comanches who are still on the warpath, are thirsty for blood. In a territory crawling with hostiles, can the seasoned Captain do his duty one last time?",1892 legendary army captain reluctantly agrees escort cheyenne chief family dangerous territory,adventure drama western,tt5478478,1M5cj4UmscE,7.3,Scott Cooper,adventure drama western
maze runner: the death cure,2018,"In the epic finale to The Maze Runner Saga, Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary last city, a WCKD controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get the answers to the questions the Gladers have been asking since they first arrived in the maze. Will Thomas and the crew make it out alive? Or will Ava Paige get her way?",young hero thomas embarks mission find cure deadly disease known quot flare quot,action sci-fi thriller,tt4500922,wnE_y4vN9nQ,6.5,Wes Ball,action sci-fi thriller
den of thieves,2018,A gritty L.A crime saga which follows the intersecting and often personally connected lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank of downtown Los Angeles.,gritty crime saga follows life elite unit county sheriff dept state successful bank robbery crew outlaw plan seemingly impossible heist federal reserve bank,action crime drama mystery thriller,tt1259528,FKd_ks0rdAM,7.0,Christian Gudegast,action crime drama mystery thriller
v.i.p.,2017,"The son (Lee Jong-Suk) of a high-ranking North Korean official is suspected of committing serial murders around the world. To stop the killer, South Korea, North Korea and Interpol chase after him.",son lee jong suk high ranking north korean official suspected committing serial murder around world stop killer south korea north korea interpol chase,action crime thriller,tt6413410,dwRkl2BjtGQ,6.4,Hoon-jung Park,action crime thriller
walk hard: the dewey cox story,2007,"The up-and-down-and-up-again story of musician Dewey Cox, whose songs would change a nation. On his rock 'n roll spiral, Cox sleeps with 411 women, marries three times, has 36 kids, stars in his own 70s TV show, collects friends ranging from Elvis to the Beatles to a chimp, and gets addicted to - and then kicks - every drug known to man; but despite it all, Cox grows into a national icon and eventually earns the love of a good woman - longtime backup singer Darlene.",singer dewey cox overcomes adversity become musical legend,comedy music,tt0841046,4yzjtnj8Y3U,6.8,Jake Kasdan,comedy music
freaky friday,2003,"The wide generation gap between Tess Coleman and her teenage daughter Anna is more than evident. They simply cannot understand each other's preferences. On a Thursday night they have a big argument in a Chinese restaurant. Both receive a fortune cookie each from the restaurant owner's mother which causes them to switch bodies next day. As they adjust with their new personalities, they begin to understand each other more and eventually it's the mutual self-respect that sorts the things out.",overworked mother daughter get along switch body forced adapt life one freaky friday,comedy family fantasy music romance,tt0322330,obOyYTto5Sg,6.2,Mark Waters,comedy family fantasy music romance
perfect strangers,2017,"In the same night that happens a blood red moon, some longtime friends reunite to dinner: the group is formed by plastic surgeon Alfonso and his wife, psychologist Eva, who are the hosts of the dinner; lawyers Antonio and his wife Ana; taxi driver Eduardo and his young and recent wife, veterinary Blanca; and finally Pepe, a former gym teacher actually unemployed, who surprisingly appears without Lucía, his recent girlfriend. Motivated by Blanca, who have some suspects about the group by the behaviors of some of them, she proposes a game where all diners leave their cell phones on the table, at the condition to say to everyone the contents of all text and voice messages. Starting like an innocent game, the progressive revelation of secrets as they appear cause a series the events each time more dramatics: Alfonso suspects that Eva has an affair, Ana thinks wrongly that Antonio is homosexual, Blanca realizes a horrible side about her marriage with Eduardo, and Pepe tries to keep hidden ...",seven friend gather dinner decide play game incoming message call display entire group leading series revelation gradually unravels normal life,comedy,tt6101820,-lOUnBsjGuY,7.0,Álex de la Iglesia,comedy
paterno,2018,"The film centers on Joe Paterno, who, after becoming the winningest coach in college football history, is embroiled in Penn State's Jerry Sandusky sexual abuse scandal, challenging his legacy and forcing him to face questions of institutional failure regarding the victims.",film center joe paterno becoming successful coach college football history embroiled penn state jerry sandusky sexual abuse scandal challenging,biography drama,tt2388986,scI7dYdlzuY,6.6,Barry Levinson,biography drama
shirley: visions of reality,2013,"13 of Edward Hopper's paintings are brought alive by the film, telling the story of a woman, whose thoughts, emotions and contemplations let us observe an era in American history. Shirley is a woman in America in the 1930s, '40s, '50s, and early '60s. A woman who would like to influence the course of history with her professional and socio political involvement.",edward hopper painting brought alive film telling story woman whose thought emotion contemplation let observe era american history shirley,documentary,tt2636806,rcQ4JKxxukY,6.5,Gustav Deutsch,documentary
5 centimeters per second,2007,"Takaki and Akari are two classmates in elementary school. During their time together they have become close friends. Their relationship is tested when Akari moves to another city because of her parents' jobs. Both of them struggle to keep their friendship alive, as time and distance slowly pulls them apart. When Takaki finds out that he is moving further away, he decides to visit Akari one last time.",told three interconnected segment follow young man named takaki life cruel winter cold technology finally adult obligation responsibility converge test delicate petal love,animation drama romance,tt0983213,SzAO_NeCmkM,7.7,Makoto Shinkai,animation drama romance
faces places,2017,"Agnes Varda, one of the leading lights of France's honored French New Wave cinema era, and professional photographer and muralist, J.R., partake on a special art project. Together, they travel around France in a special box truck equipped as a portable photo booth and traveling printing facility as they take photographs of people around the country. With that inspiration, they also create special colossal mural pictures of individuals, communities and places they want to honor and celebrate. Along the way, the old cinematic veteran and the young artistic idealist enjoy an odd friendship as they chat and explore their views on the world as only they can.",director agnes varda photographer muralist journey rural france form unlikely friendship,documentary,tt5598102,2rKZcAiLHlY,8.0,JR,documentary
the post,2017,"When American military analyst, Daniel Ellsberg, realizes to his disgust the depths of the US government's deceptions about the futility of the Vietnam War, he takes action by copying top-secret documents that would become the Pentagon Papers. Later, Washington Post owner, Kay Graham, is still adjusting to taking over her late husband's business when editor Ben Bradlee discovers the New York Times has scooped them with an explosive expose on those papers. Determined to compete, Post reporters find Ellsberg himself and a complete copy of those papers. However, the Post's plans to publish their findings are put in jeopardy with a Federal restraining order that could get them all indicted for Contempt. Now, Kay Graham must decide whether to back down for the safety of her paper or publish and fight for the Freedom of the Press. In doing so, Graham and her staff join a fight that would have America's democratic ideals in the balance.",cover spanned four president pushed country first female newspaper publisher hard driving editor join unprecedented battle press government,biography drama history thriller,tt6294822,nrXlY6gzTTM,7.2,Steven Spielberg,biography drama history thriller
the anthem of the heart,2017,"Takumi is on his class' community outreach group. His teacher assigns more students to the group including a student who, due to a mishap, has foregone speaking. The class has to perform a musical, but volunteers brave enough to perform are hard to come by. The reluctance slowly begins to wash away when the aforementioned girl makes an effort to perform. As the day of the performance approaches will the students be able to overcome their reluctance and go for it?",takumi class community outreach group teacher assigns student group including student due mishap foregone speaking class perform,drama family,tt6738046,EnbgMjdguxI,6.2,Naoto Kumazawa,drama family
my teacher,2017,"Hibiki is an awkward, 17-year-old high school sophomore who hasn't known romance. But she's about to fall in love for the very first time. With whom? A man who isn't great with words, but compassionate about his students. It's her history teacher, Mr. Ito. ""Is it okay if I fall for you?"" Hibiki asks. ""I'm afraid I can't return those feelings,"" is Ito's reply. Hibiki's first love crashes before takeoff. But it doesn't matter. ""Still I want to cherish my crush anyway."" A teacher's heart begins to turn by a student's pure love.",hibiki awkward year old high school sophomore known romance fall love first time man great word,drama romance,tt6190198,HpYqkdn2ilU,6.0,Takahiro Miki,drama romance
you were never really here,2017,"Balancing between feverish dreamlike hallucinations of a tormented past and a grim disoriented reality, the grizzled Joe--a traumatised Gulf War veteran and now an unflinching hired gun who lives with his frail elderly mother--has just finished successfully yet another job. With an infernal reputation of being a brutal man of results, the specialised in recovering missing teens enforcer will embark on a blood-drenched rescue mission, when Nina, the innocent 13-year-old daughter of an ambitious New York senator, never returns home. But amidst half-baked leads and a desperate desire to shake off his shoulders the heavy burden of a personal hell, Joe's frenzied plummet into the depths of Tartarus is inevitable, and every step Joe takes to flee the pain, brings him closer to the horrors of insanity. In the end, what is real, and what is a dream? Can there be a new chapter in Joe's life when he keeps running around in circles?",traumatized veteran unafraid violence track missing girl living job spin control joe nightmare overtake conspiracy uncovered leading may death trip awakening,drama mystery thriller,tt5742374,yMqsd7Umxy8,7.1,Lynne Ramsay,drama mystery thriller
petals on the wind,2014,"A decade after Cathy, Christopher, and Carrie escaped from their grandparents' attic at Foxworth Hall, Petals on the Wind continues to follow the twisted plight of the family as they attempt to put their sordid past behind them, but soon discover certain secrets can't be left behind. When Cathy finds herself in an abusive relationship with a fellow dancer, Julian, Christopher and Cathy are forced to face the forbidden feelings they developed for one another while coming of age during captivity. But when tragedy strikes the Dollangangers once again, Cathy returns to Foxworth Hall to confront her grandmother and seek revenge on her mother with a plan to seduce her husband Bart. When Christopher runs to Cathy's side, the two are determined to start over again - together.",decade cathy christopher carrie escaped grandparent attic foxworth hall petal wind continues follow twisted plight family,drama horror romance thriller,tt3496892,X8b86Bgrk0w,6.3,Karen Moncrieff,drama horror romance thriller
jesus christ superstar live in concert,2018,A live musical recounting the final days of Jesus Christ and those around him.,live musical recounting final day jesus christ around,musical,tt6874964,mPbb4BDirHA,8.0,David Leveaux,musical
dare to be wild,2015,Irishwoman Mary Reynold's journey from rank outsider to winner of a Gold Medal at the Chelsea Flower Show.,irishwoman mary reynold journey rank outsider winner gold medal chelsea flower show,biography drama romance,tt2989350,12lF4c06yEY,6.4,Vivienne De Courcy,biography drama romance
being julia,2004,"1938. Julia Lambert and Michael Gosselyn are the royal couple of the London theater scene, Julia an actress and Michael a former actor who took over running the theater and its troupe upon the passing of their mentor, Jimmie Langton. Jimmie is still constantly with Julia in spirit as she navigates through life. Besides their work, Julia and Michael lead largely separate lives, they long ago having stopped a sexual relationship. Julia of late has been feeling disenchanted with her life, she not wanting to admit it's because she is approaching middle age. Her disenchantment manifests itself in wanting Michael to close their current production early so that she can recharge her juices, something he is reluctant to do if only for not wanting to let the theater sit empty. What Julia ends up doing instead is embarking on an affair with Tom Fennel, an adoring young American who is young enough to be her son. As Julia and Tom's relationship progresses, the more she falls in love with him and ...",set 30 london film involves stage actor experience love revenge,comedy drama romance,tt0340012,quzIsJq7t08,7.0,István Szabó,comedy drama romance
trouble is my business,2018,"Los Angeles in 1947, everything should be sunny, but the smog creates a fog, a haze that permeates not just the lungs, but the psyches. Private eye Roland Drake cracks cases and romances femme fatales, while corrupt cops rule the underworld of the city and moral lines are anything but black and white. A dark, hard-boiled tale of love and betrayal, told in the classic style of film noir. Drake has fallen on hard times in a harsh world. He has been evicted from his office and disgraced by a missing persons case. Ruined in the public eye and with the police. it seems like it's all over for Roland Drake. Then, redemption walks in - with curves. The owner of those curves is a sexy, dark haired beauty named Katherine Montemar. She wants his help. The chemistry is immediate and her concern for the disappearance of her family members pulls him into her case - and into bed. He wakes up to her missing too, and a pool of blood where she used to be. After a nervous encounter with the equally ...",detective roland drake fall two sister montemar family one woman dead want kill,action adventure crime mystery thriller,tt2243900,SqUEOsQf6hM,6.1,Tom Konkle,action adventure crime mystery thriller
outside in,2017,An ex-con struggling to readjust to life in his small town forms an intense bond with his former high school teacher.,con struggling readjust life small town form intense bond former high school teacher,drama,tt7260048,s0SdJfplC80,6.4,Lynn Shelton,drama
froning: the fittest man in history,2015,"Rich Froning Jr. is a legend in CrossFit and the Sport of Fitness. In this biopic, take a look at his childhood, follow his quest for a fourth CrossFit Games title, and see him as a son, a husband and a new father.",rich froning legend crossfit sport fitness biopic take look childhood follow quest fourth crossfit game title see son husband new father,documentary,tt5079382,D1ze-f7jS2A,6.7,Heber Cannon,documentary
elizabethtown,2005,"After causing a loss of almost one billion dollars in his company, the shoe designer Drew Baylor decides to commit suicide. However, in the exact moment of his act of despair, he receives a phone call from his sister telling him that his beloved father had just died in Elizabethtown, and he should bring him back since his mother had problem with the relatives of his father. He travels in an empty red eye flight and meets the attendant Claire Colburn, who changes his view and perspective of life.",hometown memorial kentucky born father young man begin unexpected romance good true stewardess,comedy drama romance,tt0368709,qyPq2BS8Ug0,6.4,Cameron Crowe,comedy drama romance
the other side of heaven,2001,"John H. Groberg, a middle class kid from Idaho Falls, crosses the Pacific to become a Mormon missionary in the remote and exotic Tongan island kingdom during the 1950's. He leaves behind a loving family and the true love of his life, Jean. Through letters and musings across the miles, John shares his humbling and sometimes hilarious adventures with ""the girl back home"", and her letters buoy up his spirits in difficult times. John must struggle to overcome language barriers, physical hardship and deep-rooted suspicion to earn the trust and love of the Tongan people he has come to serve. Throughout his adventure-filled three years on the islands, he discovers friends and wisdom in the most unlikely places. John H. Groberg's Tongan odyssey will change his life forever.",john groberg farm kid idaho fall cross ocean become missionary remote exotic tongan island 1950s,adventure biography drama,tt0250371,5dKsHYzIoUI,6.5,Mitch Davis,adventure biography drama
sons of ben,2016,"After many rumors of an MLS team arriving in Philadelphia never materializing, a small group of soccer fans took matters into their own hands and started a supporters group called the Sons of Ben to help bring a team to their hometown. They were a group without a team to root for and had a modest goal of reaching 100 members by the end of the year. Little did they know they would reach over 1,500 members in less time than that and start a movement that would not only change the soccer landscape in Philadelphia forever, but also help revive a community that had been struggling for decades.",many rumor ml team arriving philadelphia never materializing small group soccer fan took matter hand started supporter group called son,biography documentary sport,tt2317088,m8I_pgCaRsM,7.8,Jeffrey C. Bell,biography documentary sport
12 strong,2018,"The True Story of the Army's Special Forces ""Green Berets"", who within weeks responded to the 9-11 attack. Green Berets, with the help of the 160th SOAR(A), took over the country and allowed other Special Forces and the rest of the conventional military to begin the more publicly visible war.",strong tell story first special force team deployed afghanistan leadership new captain team must work afghan warlord take taliban,action drama history war,tt1413492,-Denciie5oA,6.7,Nicolai Fuglsig,action drama history war
the commuter,2018,"Now a hard-working life insurance salesman and a caring family man, the former police officer, Michael MacCauley, has taken the commuter rail to New York for the past ten years. But, unexpectedly, things will take a turn for the worse, when on one of his daily journeys, the cryptic passenger, Joanna, makes Michael a generous and tempting offer to locate a single commuter or face grave consequences. Is this a sick joke, or is this indeed a serious situation? As Michael races against the clock to solve this wicked conundrum, everyone aboard is a suspect, in a deal where there's definitely more than meets the eye. Can he decide in time who's the one?",insurance salesman cop caught criminal conspiracy daily commute home,action crime drama mystery thriller,tt1590193,WWexI9YiLSc,6.3,Jaume Collet-Serra,action crime drama mystery thriller
birdshot,2016,"""Birdshot"" is a mystery-thriller film that tells a story of a young Filipina farm girl who wanders into the boundaries of a Philippine reservation forest. Deep within the reservation she mistakenly shoots and kills a critically endangered and protected Philippine Eagle. As the local authorities begin a manhunt to track down the poacher of a national bird, their investigation leads them to an even more horrific discovery.",quot birdshot quot mystery thriller film tell story young filipina farm girl wanders boundary philippine reservation forest deep within reservation,drama mystery thriller,tt6135042,7k8h_X3GjgM,6.8,Mikhail Red,drama mystery thriller
may,2002,"When May was a child, she was a lonely girl with a lazy eye and without any friends except a weird and ugly doll kept in a glass case given by her bizarre mother on her birthday. May becomes a lonely, weird young woman, working in an animal hospital and assisting the veterinarian in surgeries and sewing operated animals most of the time. Her lesbian colleague Polly has a sort of attraction for her. When the shy May meets the mechanic Adam Stubbs, she loves his hands and has a crush on him. They date, but the weirdness and bizarre behavior of May pushes Adam away from her. Alone, May has a brief affair with Polly, but she feels rejected again when her colleague meets Ambrosia. When her doll is accidentally broken, the deranged May decides to build a friend for her, using the best parts her acquaintances can offer.",lonely young woman traumatized difficult childhood increasingly desperate attempt connect people around sent murderous tailspin,drama horror,tt0303361,YbN_uoGQysc,6.7,Lucky McKee,drama horror
the china hustle,2017,"An unsettling and eye-opening Wall Street horror story about Chinese companies, the American stock market, and the opportunistic greed behind the biggest heist you've never heard of.",unsettling eye opening wall street horror story chinese company american stock market opportunistic greed behind biggest heist never heard,documentary,tt7215388,55892jT06aI,6.8,Jed Rothstein,documentary
the lost brother,2017,"Cetarti, a public employee who has just been fired, travels from Buenos Aires to Lapachito, a lonely town in the Chaco province. He must take care of the corpses of his mother and brother who have been brutally murdered, and with whom no bond of affection binds him. The only thing that mobilizes Cetarti to undertake the trip is the possibility of charging a modest life insurance to be able to settle in Brazil. There he meets Duarte, a sort of town capo and friend of his mother's murderer, with whom he establishes a strange society to manage and collect that money.",cetarti public employee fired travel buenos aire lapachito lonely town chaco province must take care corps mother brother,crime drama thriller,tt6522634,1DNXCdWZuHs,6.7,Israel Adrián Caetano,crime drama thriller
the redeemed and the dominant: fittest on earth,2018,"In 2017 the fittest athletes on Earth took on the unknown and unknowable during four of the most intense days of competition in CrossFit Games history. ""The Redeemed and the Dominant: Fittest on Earth "" captures all the drama as top athletes resembling chiseled Grecian gods descend on Madison, Wisconsin, to face a series of trials. Hercules faced 12; they take on 13. Emotions run high as a throng of Australian athletes rise to the top. By the end of the competition, some learn tough lessons-that all that glitters isn't gold, or even bronze-and some learn that they're even stronger than they realized. The best among them enter the pantheon of CrossFit giants and earn the right to call themselves the ""Fittest on Earth.""",2017 fittest athlete earth took unknown unknowable four intense day competition crossfit game history quot redeemed dominant,documentary,tt8144778,rlZ5MG-E2Ls,7.1,Heber Cannon,documentary
first match,2018,"Hardened by years in foster care, a teenage girl from Brooklyn's Brownsville neighborhood decides that joining the boys wrestling team is the only way back to her estranged father.",hardened year foster care teenage girl brooklyn brownsville neighborhood decides joining boy wrestling team way back estranged father,drama sport,tt6061074,Xva2FWNdcD0,6.1,Olivia Newman,drama sport
re: born,2016,A legend covert soldier with a mysterious past now decides to once again unleash his beast inside of him to stand up for what he cares about.,legend covert soldier mysterious past decides unleash beast inside stand care,action crime drama war,tt5678110,uxM6vsMNwXs,6.0,Yûji Shimomura,action crime drama war
happy end,2017,"Gradually succumbing to dementia, George Laurent, the octogenarian patriarch of the Laurents, an affluent upper-bourgeois family, is uncomfortably sharing his palatial manor in Calais, the heart of the infamous migrant jungle, with his twice-married son, Thomas, and Anne, his workaholic daughter who has taken over the family construction business. Divorced and frigid, Anne has to handle the impact of a disastrous workplace accident caused by her disappointing son Pierre's negligence, while at the same time, the urgent hospitalisation of Thomas' ex-wife from a mysterious poisoning, leads his sulky 13-year-old daughter, Ève, to live with her father and his new wife, Anais. Undoubtedly, in this family, everyone has a skeleton in the closet, and as the fates of the Laurents enmesh with insistent and ignoble desires, a peculiar and disturbing alliance will form. But in the end, some secrets are bigger than others.",drama family set calais european refugee crisis backdrop,drama,tt5304464,cZ1ajZRn8YM,6.9,Michael Haneke,drama
